İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI
KW Fahrettin'den Kalamış Yalı Parselinde Manzaralı Dubleks Daire,21,21000000,277,340,6+1,6,1,5,35
Caddebostan Sahil Parseli,5,8450000,180,225,4+1,4,1,3,24
SUADİYE'DE DİNAMİK'TEN 4 YILLIK BALKONLU 3+1 LÜKS SATILIK,20,4300000,110,140,3+1,3,1,2,22
CİTYDEN..FENERYOLU ÖZGÜRLÜK PARKINA YAKIN BALKONLU KATTA TEK 3+1,13,2600000,96,135,3+1,3,1,2,1
ERENKÖYÜN KALBİNDE RENÖVE EDİLMİŞ 3+1 İSKANLI DAİRE,20,3850000,130,160,3+1,3,1,3,26
SUADİYE SAHİL 310m2 LEBİDERYA MANZARALI SIFIR DUBLEX SATILIK 5+1,20,18000000,255,310,5+1,5,1,3,30
GÖZTEPEDE 3+1 FIRSAT DAİRE ARAYANLARA..,13,1615000,90,130,3+1,3,1,2,26
MODA'DA DENİZE YAKIN 2+1 ULTRA LÜKS,6,1950000,85,115,2+1,2,1,1,29
Bağdat Caddesi'nde,5,16500000,160,200,4+1,4,1,2,25
YETKİLİ,11,3100000,130,175,3+1,3,1,2,52
ŞAŞKINBAKKAL'DA BAĞDAT CEDDESİ'NE BEŞ DAKİKA 145M2,20,3985000,110,145,3+1,3,1,2,26
SUADİYE'DE DEPREM SONRASI 230M2 KATTA TEK LÜKS,20,6900000,190,230,4+1,4,1,2,27
ERENKÖYDE İSKANLI 130 M2 3+1 ETRAFI FERAH DAİRE,8,4250000,90,130,3+1,3,1,2,19
ULTRA LÜKS ÖZEL YAPILMIŞ ÇOK MERKEZİ KONUMLU SATILIK 3+1 DAİRE,19,3100000,119,154,3+1,3,1,2,31
TURYAP TAN 6+2 SATILIK DUBLEKS BAĞDAT CADDESİ 3.PARALEL SOKAKTA,13,10950000,250,335,6+2,6,2,5,31
FENERBAHÇE DE SATILIK 3+1 135m2 net EBEVEYN BANYOLU Daire,10,3950000,135,150,3+1,3,1,2,25
SUADİYE SAHİLDE OTELE KOMŞU,20,10000000,112,157,3+1,3,1,2,14
BEGÜMDEN ERENKÖY BAĞDAT CAD. DİVANA 5Dk 4+1 185M2 YENİLENMİŞ,8,4495000,145,185,4+1,4,1,3,26
TURYAP TAN BAĞDAT CADDESİ 3. PARALEL SOKAK TA 4+1 SATILIK DAİRE,13,8950000,155,210,4+1,4,1,3,31
Suadiye Feride Geçidi Bağdat Caddesi Yakın 2+1 Satılık,20,2250000,52,70,2+1,2,1,1,10
Dinamik'ten Fenerbahçe'de Katta Tek Geniş 3+1,10,4785000,125,160,3+1,3,1,2,31
Dinamik'ten Erenköy'de Marmaraya Yakın İçi Yenilenmiş Geniş 3+1,8,3495000,130,160,3+1,3,1,3,24
BOSTANCIDA ALİ NİHAT TARLANDA FULL MANZARA ULTRA LÜX 4+2 TERASLI,4,4500000,150,185,4+2,4,2,2,31
Erenköy Bağdat Caddesi İle Tren Yolu Arasında Satılık 3+1 Daire,8,4500000,102,123,3+1,3,1,2,31
SUADİYE SIFIR 210M2 YÜZME HAVUZLU MANZARALI TERASLI LÜKS DUBLEKS,20,6000000,185,210,4+2,4,2,3,36
Fenerbhaçe Ordu Evine Dalyan Kulüp'e Yakın Sıfır Binada,10,7700000,100,135,3+1,3,1,2,24
SUADİYE SAHİLDE SIFIR 145M2 DENİZ MANZARALI BALKONLU ULTRA LÜKS,20,8595000,110,145,3+1,3,1,2,26
F.BAHÇE'DE 160M2 2 BALKONLU KOMBİLİ KAPALI OTOPARKLI KATTA TEK,10,4785000,125,160,3+1,3,1,2,29
GÖZTEPE BAĞDATA YÜRÜME MESAFESİNDE 200M2 İKİ BALKONLU ULTRA LÜKS,13,4950000,150,200,4+1,4,1,2,25
C.BOSTAN'DA 185M2 2BALKONLU KAPALI OTOPARKLI KATTA TEK ULTRA LUX,13,4895000,145,185,4+1,4,1,2,25
CENTURY 21 SAHRA'DAN BAYTUR KONUTLARINDA 4+1 170 m2 NET KULLANIM,15,4900000,170,220,4+1,4,1,2,50
GÖZTEPE MERDİVENKÖY DE MERKEZİ BAKIMLI KULLANIŞLI SATILIK,16,1800000,105,130,3+1,3,1,1,22
CENTURY 21.SAHRA'DAN BAĞDAT'A COK YAKIN 4 YILLIK BİNADA 4+1,13,6000000,135,160,4+1,4,1,2,21
CENTURY 21.SAHRA'DAN SAHİLE ÇOK YAKIN İÇİ FULL YAPILI 4+1 180 M2,5,8900000,180,220,4+1,4,1,4,34
CENTURY 21.SAHRA'DAN 3 YILLIK BİNADA 4+2 DUBLEKS DENİZ MANZARALI,15,5850000,210,260,4+2,4,2,2,27
CENTURY 21.SAHRA'DAN 9 YILLIK DENİZ MAN. 4+2 İÇİ FULL YAPILI,20,12850000,300,380,4+2,4,2,3,55
CENTURY 21.SAHRA'DAN FULL DENİZ MAN. İÇİ YAPILI 133M2 NET 3+1,4,4650000,133,160,3+1,3,1,2,44
CENTURY 21.SAHRA'DAN SUADİYE'DE GENÇ BİNADA İÇİ YAPILI 2+1,20,3595000,85,105,2+1,2,1,1,22
CENTURY 21.SAHRA'DAN 2001 YAPIMI GÜVENLİKLİ HAVUZLU FULL YAPILI,4,3550000,135,160,3+1,3,1,2,32
